Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    650/1    0.003    0.000   46.504   46.504 {built-in method builtins.exec}
        1    0.000    0.000   46.504   46.504 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/tmp_profiling/app_as_script.py:176(main)
        1    0.006    0.006   38.477   38.477 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/tmp_profiling/app_as_script.py:18(calc_cpts)
        1    0.000    0.000   38.351   38.351 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/o2_fev1_point_in_time.py:23(calc_cpts)
        2    1.293    0.647   37.987   18.994 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:280(calc_pgmpy_cpt_X_x_1_minus_Y)
    18042    0.036    0.000   36.692    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/scipy/integrate/_quadpack_py.py:23(quad)
    18042    0.016    0.000   36.637    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/scipy/integrate/_quadpack_py.py:559(_quad)
    18042    3.249    0.000   36.621    0.002 {built-in method scipy.integrate._quadpack._qagse}
  8976240   10.133    0.000   33.372    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:78(PDF_X_x_1_minus_Y)
17270946/8976240   23.239    0.000   23.239    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:57(PDF_X_x_Y)
        1    0.006    0.006    8.026    8.026 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/tmp_profiling/app_as_script.py:45(model_and_inference)
        1    0.000    0.000    7.921    7.921 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/unbiased_o2sat.py:4(calc_cpt)
        6    0.000    0.000    7.105    1.184 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inference/helpers.py:13(infer)
        6    0.001    0.000    7.104    1.184 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:936(query)
        6    0.000    0.000    6.658    1.110 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:815(_query)
        6    0.000    0.000    6.550    1.092 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:231(query)
        6    0.090    0.015    6.542    1.090 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:130(_variable_elimination)
      316    0.130    0.000    4.118    0.013 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:329(marginalize)
     1925    0.013    0.000    2.555    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:21(__init__)
     1618    0.003    0.000    2.520    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:846(copy)
     4351    2.480    0.001    2.480    0.001 {built-in method numpy.array}
     6111    0.009    0.000    1.702    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
     6163    1.689    0.000    1.689    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1396    0.002    0.000    1.676    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2177(sum)
      182    0.000    0.000    1.625    0.009 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:943(__mul__)
      182    1.559    0.009    1.625    0.009 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:653(product)
4407/2739    0.002    0.000    1.578    0.001 {built-in method _functools.reduce}
       71    0.000    0.000    1.561    0.022 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/base.py:18(factor_product)
       45    0.000    0.000    1.560    0.035 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/base.py:70(<lambda>)
      584    0.008    0.000    1.203    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:1016(__hash__)
     1168    0.673    0.001    0.673    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.633    0.633 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/subplots.py:7(make_subplots)
        1    0.000    0.000    0.633    0.633 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/_subplots.py:45(make_subplots)
     1890    0.001    0.000    0.592    0.000 {method 'add' of 'set' objects}
 1378/915    0.004    0.000    0.537    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      914    0.001    0.000    0.530    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/importlib/__init__.py:108(import_module)
  916/914    0.001    0.000    0.529    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
  647/185    0.002    0.000    0.521    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        7    0.000    0.000    0.474    0.068 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:593(__init__)
  626/184    0.002    0.000    0.473    0.003 <frozen importlib._bootstrap>:664(_load_unlocked)
  623/184    0.001    0.000    0.468    0.003 <frozen importlib._bootstrap_external>:877(exec_module)
