Mon Nov 25 18:47:47 2024    cuset_cond_profiling.prof

         253237092 function calls (251155229 primitive calls) in 687.735 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  687.735  687.735 {built-in method builtins.exec}
        1    0.000    0.000  687.734  687.734 <string>:1(<module>)
        1    0.000    0.000  687.734  687.734 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:86(main)
        1    0.041    0.041  687.734  687.734 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:10(process_id)
        1    0.001    0.001  687.681  687.681 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:203(run_long_noise_model_through_time)
        1    4.063    4.063  687.469  687.469 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:359(compute_log_p_D_given_M_for_noise_model_with_temporal_AR)
   118200    0.724    0.000  562.812    0.005 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inference/helpers.py:14(infer_on_factor_graph)
   118200    0.590    0.000  452.845    0.004 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1427(query)
   118200    0.414    0.000  450.622    0.004 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1296(run)
1300200/177300    6.587    0.000  443.125    0.002 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1309(schedule_variable_node_messages)
1122900/177300    3.278    0.000  440.327    0.002 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1383(schedule_factor_node_messages)
  1122900    0.996    0.000  290.130    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1345(<listcomp>)
  2245838    1.399    0.000  289.134    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:1014(__ne__)
  2245838   13.913    0.000  287.735    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:959(__eq__)
   945600    2.303    0.000  235.319    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2170(allclose)
   945600   42.427    0.000  223.601    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2249(isclose)
   354700    7.216    0.000  210.613    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:246(get_bins_arr)
 37834000   19.872    0.000  194.528    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:251(<lambda>)
 75668090  174.656    0.000  174.656    0.000 {built-in method builtins.round}
   945600  108.986    0.000  165.844    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2330(within_tol)
  1122900    4.511    0.000  132.928    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1536(calc_factor_node_message)
947621/946901    1.176    0.000  116.471    0.000 {built-in method _functools.reduce}
  1122900  115.289    0.000  115.289    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1575(<lambda>)
   177300    2.256    0.000  109.102    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inference/helpers.py:82(get_bin_for_value)
   177400    3.380    0.000  108.133    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:425(get_bin_for_value)
  1891200   42.991    0.000   42.991    0.000 {built-in method builtins.abs}
  2778264   39.956    0.000   39.956    0.000 {built-in method numpy.array}
