Mon Nov 25 21:34:57 2024    cuset_cond_profiling.prof

         68400898 function calls (67501035 primitive calls) in 269.723 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  269.723  269.723 {built-in method builtins.exec}
        1    0.000    0.000  269.723  269.723 <string>:1(<module>)
        1    0.000    0.000  269.723  269.723 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:86(main)
        1    0.034    0.034  269.723  269.723 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:10(process_id)
        1    0.000    0.000  269.684  269.684 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:203(run_long_noise_model_through_time)
        1    3.745    3.745  269.492  269.492 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:360(compute_log_p_D_given_M_for_noise_model_with_temporal_AR)
   118200    0.528    0.000  256.057    0.002 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1431(query)
   118200    0.412    0.000  254.141    0.002 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1302(run)
709200/177300    4.215    0.000  246.877    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1315(schedule_variable_node_messages)
531900/177300    1.719    0.000  244.338    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1389(schedule_factor_node_messages)
   531900    0.535    0.000  171.017    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1351(<listcomp>)
  1182038    0.723    0.000  170.482    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:1014(__ne__)
  1182038    6.381    0.000  169.759    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:959(__eq__)
   354600    1.017    0.000  141.012    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2170(allclose)
   354600   25.640    0.000  134.730    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2249(isclose)
   354600   67.823    0.000  102.020    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:2330(within_tol)
   531900    2.290    0.000   64.287    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1557(calc_factor_node_message)
593021/592301   57.989    0.000   57.995    0.000 {built-in method _functools.reduce}
   709200   27.579    0.000   27.579    0.000 {built-in method builtins.abs}
   354792    1.071    0.000   21.106    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:845(copy)
  1241564   19.322    0.000   19.322    0.000 {built-in method numpy.array}
   354792    0.744    0.000   19.253    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/utils/compat_fns.py:15(copy)
  1300340    2.082    0.000   12.935    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  2363780   12.328    0.000   12.328    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1063804    0.954    0.000   11.792    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
   236420    2.051    0.000    8.220    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:82(__init__)
    59100    0.135    0.000    4.115    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/helpers.py:5(build_vevidence_cutset_conditioned_ar)
  1063407    0.426    0.000    3.336    0.000 {method 'sum' of 'numpy.ndarray' objects}
   709208    1.286    0.000    3.091    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
   296091    0.712    0.000    3.062    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pandas/core/series.py:1016(__getitem__)
  1063407    0.336    0.000    2.910    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_methods.py:47(_sum)
   236400    0.806    0.000    2.614    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
   236420    0.504    0.000    2.501    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/utils/state_name.py:8(store_state_names)
   236420    0.230    0.000    2.326    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2979(prod)
    59100    0.264    0.000    2.201    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/CPD.py:94(__init__)
   354604    0.394    0.000    1.935    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
   354604    0.273    0.000    1.824    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
   118200    0.510    0.000    1.777    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/models/FactorGraph.py:503(get_uniform_message)
    59100    0.838    0.000    1.737    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:805(get_virtual_message)
   296090    0.564    0.000    1.729    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pandas/core/series.py:1139(_get_value)
   531900    0.570    0.000    1.614    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1536(calc_variable_node_message)
   236420    0.177    0.000    1.525    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/utils/state_name.py:52(<dictcomp>)
   236438    1.348    0.000    1.348    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/utils/state_name.py:53(<dictcomp>)
   472800    0.837    0.000    1.284    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
   354608    0.521    0.000    1.278    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/contextlib.py:139(__exit__)
   709216    0.306    0.000    1.261    0.000 {built-in method builtins.next}
