Mon Nov 25 22:06:47 2024    cuset_cond_profiling.prof

         44485298 function calls (44113235 primitive calls) in 135.243 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  135.243  135.243 {built-in method builtins.exec}
        1    0.000    0.000  135.243  135.243 <string>:1(<module>)
        1    0.000    0.000  135.243  135.243 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:86(main)
        1    0.025    0.025  135.243  135.243 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_long_noise_model_through_time.py:10(process_id)
        1    0.001    0.001  135.212  135.212 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:203(run_long_noise_model_through_time)
        1    3.707    3.707  135.009  135.009 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inf_cutset_conditioning/cutset_cond_algs.py:360(compute_log_p_D_given_M_for_noise_model_with_temporal_AR)
   118200    0.421    0.000  122.050    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1431(query)
   118200    0.353    0.000  120.328    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1302(run)
357100/177300    2.607    0.000  114.026    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1315(schedule_variable_node_messages)
297100/118200    0.768    0.000  111.725    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1389(schedule_factor_node_messages)
   355400    0.339    0.000   87.299    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/inference/ExactInference.py:1351(<listcomp>)
   947238    0.457    0.000   86.960    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:1014(__ne__)
   947238    3.468    0.000   86.503    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/pgmpy/pgmpy/factors/discrete/DiscreteFactor.py:959(__eq__)
